Date,Ret_m_Rf_dvdy
05/01/96,-0.001678679
08/01/96,0.00275893
09/01/96,-0.014750311
10/01/96,-0.018238546
11/01/96,0.006935208
12/01/96,-0.001535884
15/01/96,-0.003386845
16/01/96,0.014193996
17/01/96,-0.003482645
18/01/96,0.003004482
19/01/96,0.00581028
22/01/96,0.002488107
23/01/96,-0.001069716
24/01/96,0.011558042
25/01/96,-0.004811993
26/01/96,0.007336584
29/01/96,0.004099169
30/01/96,0.009380411
31/01/96,0.009197427
01/02/96,0.003750438
02/02/96,-0.004190641
05/02/96,0.008674464
06/02/96,0.007531606
07/02/96,0.005475837
08/02/96,0.009324265
09/02/96,0.000378564
12/02/96,0.007631184
13/02/96,-0.001500716
14/02/96,-0.007570495
15/02/96,-0.006597864
16/02/96,-0.005219865
20/02/96,-0.011455059
21/02/96,0.011483063
22/02/96,0.016387496
23/02/96,0.000255321
26/02/96,-0.013243692
27/02/96,-0.005041267
28/02/96,-0.00393309
29/02/96,-0.006801412
01/03/96,0.006058583
04/03/96,0.009869961
05/03/96,0.007548155
06/03/96,-0.00587071
07/03/96,0.002452825
08/03/96,-0.031386766
11/03/96,0.010164768
12/03/96,-0.004663171
13/03/96,0.002214297
14/03/96,0.003551969
15/03/96,0.000798738
18/03/96,0.017266297
19/03/96,-0.001546732
20/03/96,-0.002702119
21/03/96,-0.001290817
22/03/96,0.002125622
25/03/96,-0.000966571
26/03/96,0.004422587
27/03/96,-0.006311841
28/03/96,-2.84E-05
29/03/96,-0.005389745
01/04/96,0.012582826
02/04/96,0.002251372
03/04/96,0.000859379
04/04/96,-0.000116879
08/04/96,-0.017962372
09/04/96,-0.003273454
10/04/96,-0.013710569
11/04/96,-0.003755283
12/04/96,0.0086369
15/04/96,0.008950554
16/04/96,0.003812725
17/04/96,-0.005356053
18/04/96,0.003025955
19/04/96,0.002179564
22/04/96,0.004275748
23/04/96,0.005592902
24/04/96,-0.002252723
25/04/96,0.004057824
26/04/96,0.00081698
29/04/96,0.000984217
30/04/96,-7.11E-05
01/05/96,0.000551915
02/05/96,-0.017332987
03/05/96,-0.002798405
06/05/96,-0.001353513
07/05/96,-0.004061948
08/05/96,0.010073266
09/05/96,0.000963873
10/05/96,0.010175683
13/05/96,0.014267796
14/05/96,0.006089048
15/05/96,-0.000345148
16/05/96,-0.000931669
17/05/96,0.006013377
20/05/96,0.006244052
21/05/96,-0.000654244
22/05/96,0.008303182
23/05/96,-0.003648154
24/05/96,0.003631467
28/05/96,-0.009373408
29/05/96,-0.006491836
30/05/96,0.005553773
31/05/96,-0.003923111
03/06/96,-0.002232984
04/06/96,0.007203736
05/06/96,0.008626142
06/06/96,-0.008084682
07/06/96,0.000337315
10/06/96,-0.001788059
11/06/96,-0.001850566
12/06/96,-0.002959149
13/06/96,-0.001754018
14/06/96,-0.003182578
17/06/96,-0.001115393
18/06/96,-0.004749971
19/06/96,-0.000229601
20/06/96,0.000132819
21/06/96,0.00705503
24/06/96,0.002931024
25/06/96,-0.000631917
26/06/96,-0.006215681
27/06/96,0.006163239
28/06/96,0.003027825
01/07/96,0.007719394
02/07/96,-0.003442849
03/07/96,-0.001876431
05/07/96,-0.022578511
08/07/96,-0.007559684
09/07/96,0.003302495
10/07/96,0.00192018
11/07/96,-0.016042316
12/07/96,0.000726488
15/07/96,-0.025769874
16/07/96,-0.002351714
17/07/96,0.008951631
18/07/96,0.014777308
19/07/96,-0.007612043
22/07/96,-0.007874236
23/07/96,-0.011025551
24/07/96,-0.000429547
25/07/96,0.007108422
26/07/96,0.007387561
29/07/96,-0.007956759
30/07/96,0.006792619
31/07/96,0.007277106
01/08/96,0.015538406
02/08/96,0.018927596
05/08/96,-0.003491909
06/08/96,0.003176499
07/08/96,0.002608937
08/08/96,-0.002441295
09/08/96,-0.000814562
12/08/96,0.00545304
13/08/96,-0.008476147
14/08/96,0.002723537
15/08/96,0.000272718
16/08/96,0.004339653
19/08/96,0.001982685
20/08/96,-0.001410778
21/08/96,-0.00100648
22/08/96,0.008325114
23/08/96,-0.005531736
26/08/96,-0.004808338
27/08/96,0.00371402
28/08/96,-0.002463534
29/08/96,-0.011283274
30/08/96,-0.008338178
03/09/96,0.004092055
04/09/96,0.001272103
05/09/96,-0.009541976
06/09/96,0.009476043
09/09/96,0.012161444
